dam_id,dam_num,name,area_m2,upper_total_pop,est_total_pop,pop_avrg_svi
25,UT00272,SEVIER BRIDGE,863092738.98704,18005,444.36327954012637,0.5695526505368159
120,UT00080,DMAD,581745705.569507,13027,227.07936925477009,0.5134824244867142
27,UT00249,PIUTE,224263647.02514,24189,2547.1908966327164,0.6815374700051611
147,UT00270,SETTLEMENT CANYON,154533832.487005,62912,27003.78725533366,0.32304333365646254
23,UT00227,NEWCASTLE,151491485.279731,5507,194.86438543980265,0.4412
57,UT00309,ENTERPRISE (UPPER),150630761.90603,8423,205.2465650448987,0.40476705283071407
56,UT00189,ENTERPRISE (LOWER),150225877.278872,8423,204.4036611134714,0.4056423832961894
212,UT53326,Big Sand Wash,129946428.459622,21088,1903.3938739108758,0.5401834418583709
110,UT00072,CLIFF LAKE (DUCHESNE),100477648.700264,9499,72.07157645830438,0.7890292181728935
150,UT00323,WHITEROCKS LAKE,93287746.4982007,9499,67.09145772203314,0.7921625964863963
9,UT00259,ROCKY FORD (BEAVER),71676791.9171717,3368,45.22441166508517,0.3485
12,UT00251,PORCUPINE,66509510.5408086,23377,3637.914731446297,0.4064130014145009
11,UT00079,UTAH POWER & LIGHT - CUTLER,45960121.8369641,23232,1199.6913477755788,0.2411961636436504
2,UT00069,CHEPETA,40262164.8279618,9499,28.926614439890287,0.7909567193643624
214,UT00517,Recapture Creek,39707268.2823017,8000,22.07733120196539,0.765293856045196
53,UT00276,NORTH UTAH COUNTY - SILVER LAKE FLAT,38739876.2713122,83667,32307.438307624117,0.3913136947429099
1,UT00394,BROWNS DRAW,38273850.5903968,21088,1104.9804091487129,0.831600723324526
121,UT00131,GUNNISON BEND,38260955.1871127,2908,9.8310133387022,0.3708
4,UT00240,PARADISE PARK,37742892.4889846,5404,27.200258076159553,0.7946
34,UT00130,GUNNISON,37340855.7968552,10070,210.71261710662137,0.714359341490845
75,UT00212,MILLSITE,35711465.5265732,9898,13.550962809042176,0.6891100093417524
118,UT00215,MONA,34211179.5809849,11065,301.5973315844813,0.39384011667274577
20,UT00100,UTAH POWER & LIGHT - ELECTRIC LAKE,32338228.3638052,9898,75.06293898043982,0.44259557968451324
145,UT00366,ROCKY FORD (SEVIER),30575712.7349259,12974,142.77894862619976,0.6006455308072892
49,UT00390,COTTONWOOD,29512577.6472427,11829,48.08357292796003,0.670544980930408
112,UT00302,TROPIC,28430364.8417761,6885,7.659775905605914,0.5349204445653073
18,UT00306,TWIN POTS,25775301.2746265,11324,84.4235507093429,0.5932207403525297
55,UT00010,ASH CREEK,21215287.9268419,73908,5671.789171989187,0.301310491993183
60,UT00514,QUAIL CREEK,20867386.4863908,70329,9374.491956677008,0.23624984638285004
61,UT00710,QUAIL CREEK SOUTH DAM,20762702.848805,65737,9354.121783706463,0.23565216606704015
44,UT00324,WHITNEY,20486496.7852418,2829,14.98285797128276,0.5081548565983287
16,UT00069,CHEPETA,20221342.6896625,9499,14.483747804260783,0.7873237220871515
86,UT00194,MANDERFIELD (AKA BEAVER),20138673.459028,7102,48.851138655115435,0.5494875452326814
59,UT00164,KOLOB CREEK,19802710.7105293,86820,4670.185045595526,0.3518394697877926
71,UT00221,MOUNTAIN DELL,19037098.6438245,141162,28156.522462981142,0.6434461524267677
64,UT00208,MILL MEADOW,18046837.4852023,2532,7.157527850453566,0.3992
3,UT00235,OTTER CREEK,17789718.8840292,4492,13.90287822292137,0.6883093979484702
62,UT00588,SOUTH CREEK - WASHINGTON CO,17658030.1538375,86820,5008.430884278633,0.32061750888089385
47,UT00353,BROUGH,16826813.8792171,11829,29.066257818768197,0.6649555194849002
129,UT00755,LITTLE DELL,16802505.7395662,79898,29926.80757013255,0.48294436844187155
29,UT00332,WOODRUFF CREEK,16556826.0282263,2543,14.976364128324393,0.4982
50,UT00624,LAPOINT,16339917.963738,5404,11.77573271326234,0.7946000000000001
45,UT00343,GRANTSVILLE,16240394.3103091,19749,2639.9635765581543,0.5533501272143789
117,UT00335,YANKEE MEADOW,16234821.2859582,4371,31.29506736186473,0.7691
42,UT00280,SMITH AND MOREHOUSE,16033265.6586343,9722,219.66258897755523,0.21320044062571863
28,UT00041,BIRCH CREEK #2,15646288.7713755,2543,14.152749794740881,0.4982
211,UT10101,RED BUTTE,15569654.8605154,77479,29380.915915028418,0.5339711498396013
77,UT00313,WALL LAKE,15454792.8633538,8750,171.19699853765425,0.1714632911703172
208,UT00184,LOST LAKE,15373628.1508261,8750,171.98099522913145,0.17172825921891358
207,UT00315,WASHINGTON LAKE,14915566.8528618,8750,171.13215723812073,0.17151381084725828
8,UT00089,DEJARNATT,14841036.2686569,9359,20.249107021526306,0.3082828100621256
43,UT00301,TRIAL LAKE,14832891.6618759,8750,171.1244609204373,0.1715214948804679
158,UT00472,NORTH UTAH CO - DRY CREEK,14621478.8808104,41261,14817.857853815358,0.16555902561755995
68,UT00144,HUNTINGTON,14575689.2170711,8667,33.33444999658569,0.5490172093518407
157,UT00585,NORTH UTAH CO - BATTLE CREEK,14478284.2383523,36315,12822.74086293015,0.3440235903303932
183,UT00165,KOOSHAREM,14218388.4232414,4564,13.919990583914057,0.5246262591635055
7,UT00044,BLUE CREEK,14158819.0013613,9359,20.072867442735657,0.3083818727239946
67,UT00071,CLEVELAND,13801873.3167568,8667,27.173196800803247,0.5099800136494145
119,UT00322,CORN CREEK,13554747.369584,5001,13.149555538191143,0.6055
